table,lev,lev_name,time,kuski
10,39,Haircut,"45,41",Garion
10,40,"Double Trouble","1:30,69",Ufo
10,41,Framework,"40,88",KingKong
10,42,Enduro,"51,45",Jokke
10,43,"He He","1:02,59",Karlis
10,44,Freefall,"33,71",Joni
10,45,Sink,"33,81",Jeppe
10,46,Bowling,"1:10,11",zeth
10,47,Enigma,"26,97",Rainman
10,48,Downhill,"54,77",Joni
10,49,"What the Heck","43,89",KingKong
10,50,"Expert System","1:01,13",loX
10,51,"Tricks Abound","56,53",Fulgore
10,52,"Hang Tight","26,80",zyntifox
10,53,Hooked,"18,25",oizo!
10,54,"Apple Harvest","1:56,66",ramone
11,1,"Warm Up","14,35",BoFaIQ
11,2,"Flat Track","16,87",mr
11,3,"Twin Peaks","20,01",DeG
11,4,"Over and Under","31,68",Champi0N
11,5,"Uphill Battle","22,31",Ufo
11,6,"Long Haul","33,24",DMC
11,7,"Hi Flyer","35,56",Champi0N
11,8,Tag,"22,55",SoGe
11,9,"Tunnel Terror","1:04,52",Dr_Luni
11,10,"The Steppes","13,66",mr
11,11,"Gravity Ride","26,52",Joni
11,12,"Islands in the Sky","22,84",Gazoline
11,13,"Hill Legend","17,64",TuA
11,14,Loop-de-Loop,"18,35",DeG
11,15,"Serpents Tale","1:07,49",zeth
11,16,"New Wave","1:34,20",Champi0N
11,17,Labyrinth,"58,80",umiz
11,18,Spiral,"46,79",ZanguiZ
11,19,Turnaround,"40,10",zeth
11,20,"Upside Down","1:06,93",Joni
11,21,Hangman,"15,15",elg
11,22,Slalom,"42,86",TuA
11,23,"Quick Round","48,23",Jokke
11,24,"Ramp Frenzy","1:00,02",Jokke
11,25,Precarious,"25,11","AnTTiM [HfK]"
11,26,Circuitous,"27,65",Champi0N
11,27,"Shelf Life","38,00",Champi0N
11,28,"Bounce Back","54,84",Petri
11,29,Headbanger,"49,82",zeth
11,30,Pipe,"34,25",KingKong
11,31,"Animal Farm","1:28,81",KingKong
11,32,"Steep Corner","43,97",Hotwax
11,33,Zig-Zag,"1:35,84",zeth
11,34,"Bumpy Journey","38,42","Ekan [BAC]"
11,35,"Labyrinth Pro","2:38,45",loX
11,36,"Fruit in the Den","1:03,40",Jokke
11,37,Jaws,"1:01,83",DMC
11,38,Curvaceous,"33,79",KingKong
11,39,Haircut,"44,90",KingKong
11,40,"Double Trouble","1:30,19",loX
11,41,Framework,"40,88",KingKong
11,42,Enduro,"51,45",Jokke
11,43,"He He","1:02,59",Karlis
11,44,Freefall,"33,65",Tier
11,45,Sink,"33,81",Jeppe
11,46,Bowling,"1:10,11",zeth
11,47,Enigma,"26,97",Rainman
11,48,Downhill,"54,77",Joni
11,49,"What the Heck","43,89",KingKong
11,50,"Expert System","1:01,13",loX
11,51,"Tricks Abound","56,53",Fulgore
11,52,"Hang Tight","26,80",zyntifox
11,53,Hooked,"18,17",oizo!
11,54,"Apple Harvest","1:56,66",ramone
12,1,"Warm Up","14,33",BoFaIQ
12,2,"Flat Track","16,87",mr
12,3,"Twin Peaks","20,01",DeG
12,4,"Over and Under","31,68",Champi0N
12,5,"Uphill Battle","22,12",Gazoline
12,6,"Long Haul","33,24",DMC
12,7,"Hi Flyer","35,56",Champi0N
12,8,Tag,"22,55",SoGe
12,9,"Tunnel Terror","1:04,52",Dr_Luni
12,10,"The Steppes","13,66",mr
12,11,"Gravity Ride","26,52",Joni
12,12,"Islands in the Sky","22,84",Gazoline
12,13,"Hill Legend","17,64",TuA
12,14,Loop-de-Loop,"18,35",DeG
12,15,"Serpents Tale","1:07,49",zeth
